"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"knitr","knitr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.23",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun, tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, styler",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"label.switching","label.switching","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8",NA,NA,"combinat, lpSolve",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"labeling","labeling","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","3.6.0"
"lambda.r","lambda.r","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.3",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","3.6.0"
"lamW","lamW","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.0",NA,"R (>= 3.0.2)","Rcpp, RcppParallel (>= 4.3.20)","Rcpp, RcppParallel (>= 4.3.20)","testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"later","later","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"latex2exp","latex2exp","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.0",NA,NA,"stringr, magrittr",NA,"testthat, knitr, ggplot2, plyr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.20-38","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"latticeExtra","latticeExtra","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6-28",NA,"R (>= 2.10.0), lattice, RColorBrewer","grid, stats, utils, grDevices",NA,"maps, mapproj, deldir, tripack, zoo, MASS, quantreg, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"lavaan","lavaan","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6-4",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"lazyeval","lazyeval","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"leafem","leafem","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.0.1",NA,"R (>= 3.1.0)","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1), raster,
sf, sp",NA,"gdalUtils, plainview, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"leaflet","leaflet","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0.2",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1)",NA,"knitr, maps, sf, shiny, testit (>= 0.4), rgdal, rgeos, R6,
RJSONIO, purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"leafpop","leafpop","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.0.1",NA,NA,"base64enc, brew, gdalUtils, htmlwidgets, Rcpp (>= 1.0.0),
svglite, uuid","Rcpp","lattice, leaflet (>= 2.0.0), sf, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"leaps","leaps","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.0",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"LearnBayes","LearnBayes","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.15.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"lintr","lintr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.3",NA,"R (>= 3.1.1)","rex, crayon, codetools, stringdist, testthat, digest, igraph,
rstudioapi (>= 0.2), httr, jsonlite, knitr, stats, utils",NA,"rmarkdown, mockery",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"listenv","listenv","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.0"
"lme4","lme4","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-21",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"lmerTest","lmerTest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.1-0",NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"lmtest","lmtest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9-37",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"locfit","locfit","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5-9.1",NA,"R (>= 2.0.1)","lattice",NA,"akima, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"logistf","logistf","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.23",NA,"R (>= 3.0.0)","mice, mgcv",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.6.0"
"loo","loo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.0",NA,"R (>= 3.1.2)","graphics, matrixStats (>= 0.52), parallel, stats, checkmate",NA,"bayesplot (>= 1.5.0), brms (>= 2.2.0), ggplot2, knitr,
rmarkdown, rstan, rstanarm (>= 2.17.4), rstantools, spdep,
testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"lpSolve","lpSolve","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","5.6.13.1",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","3.6.0"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7.4",NA,"methods, R (>= 3.0.0)","stringr, Rcpp (>= 0.12.13),","Rcpp,","testthat, knitr, covr","chron, fts, timeSeries, timeDate, tis, tseries, xts, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"lwgeom","lwgeom","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1-7",NA,"R (>= 3.3.0)","Rcpp, units, sf (>= 0.6-0)","Rcpp, sf (>= 0.6-0)","covr, sp, geosphere, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"magic","magic","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5-9",NA,"R (>= 2.10), abind",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"magick","magick","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av, spelling, jsonlite, methods, knitr, rmarkdown, rsvg,
webp, pdftools, ggplot2, raster, rgdal, gapminder, IRdisplay,
tesseract (>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5",NA,NA,NA,NA,"testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"manipulateWidget","manipulateWidget","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.10.0",NA,NA,"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot",NA,"dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"mapdata","mapdata","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.3.0",NA,"R (>= 2.14.0), maps (>= 2.0-7)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"mapplots","mapplots","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5.1",NA,"R (>= 2.10.0)",NA,NA,"shapefiles",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"maps","maps","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"maptools","maptools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9-5",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.50), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"mapview","mapview","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.7.0",NA,"methods, R (>= 2.10)","base64enc, brew, htmltools, htmlwidgets, lattice, leafem,
leaflet (>= 2.0.0), leafpop, png, raster, Rcpp (>= 0.11.3),
satellite, scales (>= 0.2.5), sf, sp, svglite, uuid,
viridisLite, webshot","Rcpp","covr, dplyr, knitr, lwgeom, plainview, rmarkdown, stars,
testthat",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0",NA,"R (>= 2.11.1)","utils, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","7.3-51.4","recommended","R (>= 3.1.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2-17","recommended","R (>= 3.2.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.6.0"
"MatrixModels","MatrixModels","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4-1",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"matrixStats","matrixStats","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.54.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"MCL","MCL","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0",NA,"R (>= 2.10.0)","expm",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"mclust","mclust","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","5.4.4",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"mcmc","mcmc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9-6",NA,"R (>= 3.0.2)","stats",NA,"xtable, Iso",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"MCMCpack","MCMCpack","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-4",NA,"R (>= 2.10.0), coda (>= 0.11-3), MASS, stats","graphics, grDevices, lattice, methods, utils, mcmc, quantreg",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"memoise","memoise","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.0",NA,NA,"digest (>= 0.6.3)",NA,"testthat, aws.s3, httr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"memuse","memuse","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.0-0",NA,"R (>= 3.0.0)","methods, utils",NA,NA,NA,"BSD 2-clause License + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"methods","methods","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.8-28","recommended","R (>= 2.14.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"mice","mice","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.5.0",NA,"methods, R (>= 2.10.0), lattice","broom, dplyr, grDevices, graphics, MASS, mitml, nnet,
parallel, Rcpp, rlang, rpart, splines, stats, survival, utils","Rcpp","AGD, CALIBERrfimpute, DPpackage, gamlss, lme4, mitools, nlme,
pan, randomForest, Zelig, BSDA, knitr, rmarkdown, testthat,
HSAUR3, micemd, miceadds, tidyr",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"mime","mime","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.6.0"
"miniUI","miniUI","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"minqa","minqa","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"mitml","mitml","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3-7",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, utils",NA,"mice, miceadds, Amelia, lme4, nlme, geepack, survival, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"mixmeta","mixmeta","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.2",NA,"R (>= 3.5.0)","stats, graphics, grDevices, utils",NA,"metafor, meta, rmeta, dosresmeta, nlme, MASS, dlnm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"mmod","mmod","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.3",NA,"R (>= 2.6.0), adegenet (>= 2.0),","stats, pegas",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"mnormt","mnormt","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5-5",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"modelr","modelr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.4",NA,"R (>= 3.1)","broom, dplyr, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0),
tibble, tidyr (>= 0.8.0)",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"modeltools","modeltools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2-22",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"moments","moments","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.14",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"MoreTreeTools","MoreTreeTools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.0.1",NA,"R (>= 3.0.2), methods, ape, treeman, ggplot2,","picante, RJSONIO, stringr, plyr",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"msa","msa","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.16.0",NA,"R (>= 3.1.0), methods, Biostrings (>= 2.40.0)","Rcpp (>= 0.11.1), BiocGenerics, IRanges (>= 1.20.0),
S4Vectors, tools","Rcpp","Biobase, knitr, seqinr, ape, phangorn",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"multcomp","multcomp","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-10",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"multtest","multtest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.40.0",NA,"R (>= 2.10), methods, BiocGenerics, Biobase","survival, MASS, stats4",NA,"snow",NA,"LGPL",NA,NA,NA,NA,"yes","3.6.0"
"MuMIn","MuMIn","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.43.6",NA,"R (>= 3.5.0)","graphics, methods, Matrix, stats, stats4, nlme",NA,"lme4 (>= 1.1.0), mgcv (>= 1.7.5), gamm4, MASS, nnet, survival
(>= 2.37.5), geepack","aod, aods3, betareg, caper, coxme, cplm, gee, glmmML,
logistf, MCMCglmm, ordinal, pscl, spdep, spatialreg, splm,
unmarked (>= 0.12.2), geeM (>= 0.7.5)","GPL-2",NA,NA,NA,NA,"no","3.6.0"
"munsell","munsell","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"muStat","muStat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7.0",NA,"R (>= 2.11.1), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.0"
"mvtnorm","mvtnorm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-11",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.1-140","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.6.0"
"nloptr","nloptr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.1",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.6.0"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","7.3-12","recommended","R (>= 2.14.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"numDeriv","numDeriv","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"odbc","odbc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.6",NA,"R (>= 3.2.0)","DBI (>= 1.0.0), methods, Rcpp (>= 0.12.11), blob (>= 1.1.0),
bit64, hms","Rcpp, BH","tibble, DBItest, testthat, covr, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"officer","officer","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3.5",NA,NA,"Rcpp (>= 0.12.12), R6, grDevices, base64enc, zip (>= 2.0.0),
digest,uuid,stats, magrittr,htmltools,rlang, xml2 (>= 1.1.0)","Rcpp","testthat, devEMF,tibble,ggplot2, rmarkdown, knitr, rsvg",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"openssl","openssl","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4",NA,NA,"askpass",NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"openxlsx","openxlsx","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","4.1.0.1",NA,"R (>= 3.3.0)","methods, Rcpp, grDevices, stats, utils, zip","Rcpp","knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"optparse","optparse","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6.2",NA,"R (>= 2.9.0)","methods, getopt (>= 1.20.2)",NA,"covr, knitr (>= 1.15.19), stringr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"ordinal","ordinal","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2019.4-25",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"packrat","packrat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.0",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"pacman","pacman","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"pan","pan","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,"no",NA,NA,"yes","3.6.0"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 3.6.0",NA,NA,NA,NA,"yes","3.6.0"
"parallelDist","parallelDist","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.4",NA,"R (>= 3.0.2)","Rcpp (>= 0.12.6), RcppParallel (>= 4.3.20)","Rcpp, RcppParallel, RcppArmadillo","dtw, ggplot2, proxy, testthat, RcppArmadillo, RcppXPtrUtils",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"pbapply","pbapply","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-0",NA,"R (>= 3.2.0)","parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"pbdZMQ","pbdZMQ","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3-3",NA,"R (>= 3.2.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"pbivnorm","pbivnorm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"pbkrtest","pbkrtest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4-7",NA,"R (>= 3.2.3), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, MASS, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"pbmcapply","pbmcapply","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.1",NA,"utils, parallel",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"pca3d","pca3d","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.10",NA,NA,"rgl,ellipse",NA,"knitr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"pcaPP","pcaPP","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.9-73",NA,NA,"mvtnorm",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"pdftools","pdftools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.2",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","jpeg, png, webp, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"pegas","pegas","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.11",NA,"R (>= 2.6.0), ape (>= 2.4), adegenet","graphics, utils",NA,"rgl",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"performance","performance","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.0",NA,"R (>= 3.0)","insight, bayestestR",NA,"AER, betareg, brms, covr, glmmTMB, lme4, loo, Matrix, MASS,
mlogit, nlme, ordinal, pscl, psych, randomForest, rmarkdown,
rstanarm, rstantools, see, survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"PerformanceAnalytics","PerformanceAnalytics","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5.3",NA,"R (>= 3.0.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, gplots, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"permute","permute","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9-5",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"phangorn","phangorn","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.5.5",NA,"R (>= 3.2.0), ape (>= 5.0)","quadprog, igraph (>= 1.0), Matrix, parallel, methods, utils,
stats, graphics, grDevices, fastmatch, magrittr, Rcpp (>=
0.12.0)","Rcpp","testthat, vdiffr, seqinr, xtable, rgl, knitr, rmarkdown,
Biostrings",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
